Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SaleCondition,SalePrice
11,20,RL,70.0,11200,Reg,Inside,Sawyer,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,No,Rec,906,Unf,134,1040,Ex,1040,0,1040,1,1,0,3,TA,5,0,Missing,Detchd,1965.0,Unf,1,384,0,0,0,2,2008,Normal,129500
12,60,RL,85.0,11924,IR1,Inside,NridgHt,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,Stone,286.0,Ex,PConc,Ex,No,GLQ,998,Unf,177,1175,Ex,1182,1142,2324,1,3,0,4,Ex,11,2,Gd,BuiltIn,2005.0,Fin,3,736,147,21,0,7,2006,Partial,345000
13,20,RL,69.0,12968,IR2,Inside,Sawyer,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,None,0.0,TA,CBlock,TA,No,ALQ,737,Unf,175,912,TA,912,0,912,1,1,0,2,TA,4,0,Missing,Detchd,1962.0,Unf,1,352,140,0,0,9,2008,Normal,144000
14,20,RL,91.0,10652,IR1,Inside,CollgCr,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,Stone,306.0,Gd,PConc,Gd,Av,Unf,0,Unf,1494,1494,Ex,1494,0,1494,0,2,0,3,Gd,7,1,Gd,Attchd,2006.0,RFn,3,840,160,33,0,8,2007,Partial,279500
15,20,RL,69.0,10920,IR1,Corner,NAmes,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,BrkFace,212.0,TA,CBlock,TA,No,BLQ,733,Unf,520,1253,TA,1253,0,1253,1,1,1,2,TA,5,1,Fa,Attchd,1960.0,RFn,1,352,0,213,176,5,2008,Normal,157000
16,45,RM,51.0,6120,Reg,Corner,BrkSide,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,BrkTil,TA,No,Unf,0,Unf,832,832,Ex,854,0,854,0,1,0,2,TA,5,0,Missing,Detchd,1991.0,Unf,2,576,48,112,0,7,2007,Normal,132000
17,20,RL,69.0,11241,IR1,CulDSac,NAmes,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,CBlock,TA,No,ALQ,578,Unf,426,1004,Ex,1004,0,1004,1,1,0,2,TA,5,1,TA,Attchd,1970.0,Fin,2,480,0,0,0,3,2010,Normal,149000
18,90,RL,72.0,10791,Reg,Inside,Sawyer,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,None,0.0,TA,Slab,TA,No,Unf,0,Unf,0,0,TA,1296,0,1296,0,2,0,2,TA,6,0,Missing,CarPort,1967.0,Unf,2,516,0,0,0,10,2006,Normal,90000
19,20,RL,66.0,13695,Reg,Inside,SawyerW,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,TA,No,GLQ,646,Unf,468,1114,Ex,1114,0,1114,1,1,1,3,Gd,6,0,Missing,Detchd,2004.0,Unf,2,576,0,102,0,6,2008,Normal,159000
20,20,RL,70.0,7560,Reg,Inside,NAmes,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,None,0.0,TA,CBlock,TA,No,LwQ,504,Unf,525,1029,TA,1339,0,1339,0,1,0,3,TA,6,0,Missing,Attchd,1958.0,Unf,1,294,0,0,0,5,2009,Abnorml,139000
21,60,RL,101.0,14215,IR1,Corner,NridgHt,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,380.0,Gd,PConc,Ex,Av,Unf,0,Unf,1158,1158,Ex,1158,1218,2376,0,3,1,4,Gd,9,1,Gd,BuiltIn,2005.0,RFn,3,853,240,154,0,11,2006,Partial,325300
22,45,RM,57.0,7449,Reg,Inside,IDOTRR,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,PConc,TA,No,Unf,0,Unf,637,637,Ex,1108,0,1108,0,1,0,3,Gd,6,1,Gd,Attchd,1930.0,Unf,1,280,0,0,205,6,2007,Normal,139400
23,20,RL,75.0,9742,Reg,Inside,CollgCr,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,BrkFace,281.0,Gd,PConc,Gd,No,Unf,0,Unf,1777,1777,Ex,1795,0,1795,0,2,0,3,Gd,7,1,Gd,Attchd,2002.0,RFn,2,534,171,159,0,9,2008,Normal,230000
24,120,RM,44.0,4224,Reg,Inside,MeadowV,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,None,0.0,TA,PConc,Gd,No,GLQ,840,Unf,200,1040,TA,1060,0,1060,1,1,0,3,TA,6,1,TA,Attchd,1976.0,Unf,2,572,100,110,0,6,2007,Normal,129900
25,20,RL,69.0,8246,IR1,Inside,Sawyer,1Fam,1Story,5,8,1968,2001,Gable,Plywood,Plywood,None,0.0,TA,CBlock,TA,Mn,Rec,188,ALQ,204,1060,Ex,1060,0,1060,1,1,0,3,Gd,6,1,TA,Attchd,1968.0,Unf,1,270,406,90,0,5,2010,Normal,154000
26,20,RL,110.0,14230,Reg,Corner,NridgHt,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,640.0,Gd,PConc,Gd,No,Unf,0,Unf,1566,1566,Ex,1600,0,1600,0,2,0,3,Gd,7,1,Gd,Attchd,2007.0,RFn,3,890,0,56,0,7,2009,Normal,256300
27,20,RL,60.0,7200,Reg,Corner,NAmes,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,Mn,BLQ,234,Rec,180,900,TA,900,0,900,0,1,0,3,Gd,5,0,Missing,Detchd,2005.0,Unf,2,576,222,32,0,5,2010,Normal,134800
28,20,RL,98.0,11478,Reg,Inside,NridgHt,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,200.0,Gd,PConc,Ex,No,GLQ,1218,Unf,486,1704,Ex,1704,0,1704,1,2,0,3,Gd,7,1,Gd,Attchd,2008.0,RFn,3,772,0,50,0,5,2010,Normal,306000
29,20,RL,47.0,16321,IR1,CulDSac,NAmes,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,Gd,BLQ,1277,Unf,207,1484,TA,1600,0,1600,1,1,0,2,TA,6,2,Gd,Attchd,1957.0,RFn,1,319,288,258,0,12,2006,Normal,207500
30,30,RM,60.0,6324,IR1,Inside,BrkSide,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,Unf,0,Unf,520,520,Fa,520,0,520,0,1,0,1,Fa,4,0,Missing,Detchd,1920.0,Unf,1,240,49,0,87,5,2008,Normal,68500
31,70,C (all),50.0,8500,Reg,Inside,IDOTRR,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,None,0.0,TA,BrkTil,TA,No,Unf,0,Unf,649,649,TA,649,668,1317,0,1,0,3,TA,6,0,Missing,Detchd,1920.0,Unf,1,250,0,54,172,7,2008,Normal,40000
32,20,RL,69.0,8544,IR1,CulDSac,Sawyer,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,No,Unf,0,Unf,1228,1228,Gd,1228,0,1228,0,1,1,3,Gd,6,0,Missing,Attchd,1966.0,Unf,1,271,0,65,0,6,2008,Normal,149350
33,20,RL,85.0,11049,Reg,Corner,CollgCr,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Ex,Av,Unf,0,Unf,1234,1234,Ex,1234,0,1234,0,2,0,3,Gd,7,0,Missing,Attchd,2007.0,RFn,2,484,0,30,0,1,2008,Normal,179900
34,20,RL,70.0,10552,IR1,Inside,NAmes,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,None,0.0,TA,CBlock,TA,No,Rec,1018,Unf,380,1398,Gd,1700,0,1700,0,1,1,4,Gd,6,1,Gd,Attchd,1959.0,RFn,2,447,0,38,0,4,2010,Normal,165500
35,120,RL,60.0,7313,Reg,Inside,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,246.0,Ex,PConc,Ex,No,GLQ,1153,Unf,408,1561,Ex,1561,0,1561,1,2,0,2,Ex,6,1,Gd,Attchd,2005.0,Fin,2,556,203,47,0,8,2007,Normal,277500
36,60,RL,108.0,13418,Reg,Inside,NridgHt,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,132.0,Gd,PConc,Ex,Av,Unf,0,Unf,1117,1117,Ex,1132,1320,2452,0,3,1,4,Gd,9,1,Gd,BuiltIn,2004.0,Fin,3,691,113,32,0,9,2006,Normal,309000
37,20,RL,112.0,10859,Reg,Corner,CollgCr,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,No,Unf,0,Unf,1097,1097,Ex,1097,0,1097,0,1,1,3,TA,6,0,Missing,Attchd,1995.0,Unf,2,672,392,64,0,6,2009,Normal,145000
38,20,RL,74.0,8532,Reg,Inside,NAmes,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,CBlock,TA,No,Rec,1213,Unf,84,1297,Gd,1297,0,1297,0,1,0,3,TA,5,1,TA,Attchd,1954.0,Fin,2,498,0,0,0,10,2009,Normal,153000
39,20,RL,68.0,7922,Reg,Inside,NAmes,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,No,GLQ,731,Unf,326,1057,TA,1057,0,1057,1,1,0,3,Gd,5,0,Missing,Detchd,1953.0,Unf,1,246,0,52,0,1,2010,Abnorml,109000
40,90,RL,65.0,6040,Reg,Inside,Edwards,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,Plywood,None,0.0,TA,PConc,TA,No,Unf,0,Unf,0,0,TA,1152,0,1152,0,2,0,2,Fa,6,0,Missing,Attchd,1980.0,Unf,0,0,0,0,0,6,2008,AdjLand,82000
41,20,RL,84.0,8658,Reg,Inside,NAmes,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,CBlock,TA,No,Rec,643,Unf,445,1088,Ex,1324,0,1324,0,2,0,3,TA,6,1,TA,Attchd,1965.0,RFn,2,440,0,138,0,12,2006,Abnorml,160000
42,20,RL,115.0,16905,Reg,Inside,Timber,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,Gd,BLQ,967,Unf,383,1350,Gd,1328,0,1328,0,1,1,2,TA,5,2,Gd,Attchd,1959.0,RFn,1,308,0,104,0,7,2007,Normal,170000
43,85,RL,69.0,9180,IR1,CulDSac,SawyerW,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,HdBoard,None,0.0,TA,CBlock,Gd,Av,ALQ,747,LwQ,0,840,Gd,884,0,884,1,1,0,2,Gd,5,0,Missing,Attchd,1983.0,RFn,2,504,240,0,0,12,2007,Normal,144000
44,20,RL,69.0,9200,IR1,CulDSac,CollgCr,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,VinylSd,None,0.0,TA,CBlock,Gd,Av,LwQ,280,BLQ,167,938,TA,938,0,938,1,1,0,3,TA,5,0,Missing,Detchd,1977.0,Unf,1,308,145,0,0,7,2008,Normal,130250
45,20,RL,70.0,7945,Reg,Inside,NAmes,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,Wd Sdng,None,0.0,TA,CBlock,TA,No,ALQ,179,BLQ,465,1150,Ex,1150,0,1150,1,1,0,3,TA,6,0,Missing,Attchd,1959.0,RFn,1,300,0,0,0,5,2006,Normal,141000
46,120,RL,61.0,7658,Reg,Inside,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,412.0,Ex,PConc,Ex,No,GLQ,456,Unf,1296,1752,Ex,1752,0,1752,1,2,0,2,Ex,6,1,Gd,Attchd,2005.0,RFn,2,576,196,82,0,2,2010,Normal,319900
47,50,RL,48.0,12822,IR1,CulDSac,Mitchel,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Ex,No,GLQ,1351,Unf,83,1434,Ex,1518,631,2149,1,1,1,1,Gd,6,1,Ex,Attchd,2003.0,RFn,2,670,168,43,0,8,2009,Abnorml,239686
48,20,FV,84.0,11096,Reg,Inside,Somerst,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,Av,GLQ,24,Unf,1632,1656,Ex,1656,0,1656,0,2,0,3,Gd,7,0,Missing,Attchd,2006.0,RFn,3,826,0,146,0,7,2007,Normal,249700
49,190,RM,33.0,4456,Reg,Inside,OldTown,2fmCon,2Story,4,5,1920,2008,Gable,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,Unf,0,Unf,736,736,Gd,736,716,1452,0,2,0,2,TA,8,0,Missing,Attchd,1980.0,Unf,0,0,0,0,102,6,2009,Partial,113000
50,20,RL,66.0,7742,Reg,Inside,Sawyer,1Fam,1Story,5,7,1966,1966,Gable,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,No,BLQ,763,Unf,192,955,Ex,955,0,955,1,1,0,3,TA,6,0,Missing,Attchd,1966.0,Unf,1,386,0,0,0,1,2007,Normal,127000
51,60,RL,69.0,13869,IR2,Corner,Gilbert,1Fam,2Story,6,6,1997,1997,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,Av,GLQ,182,Unf,612,794,Gd,794,676,1470,0,2,0,3,TA,6,0,Missing,Attchd,1997.0,Fin,2,388,0,75,0,7,2007,Normal,177000
52,50,RM,52.0,6240,Reg,Inside,BrkSide,1Fam,1.5Fin,6,6,1934,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,PConc,TA,No,Unf,0,Unf,816,816,TA,816,0,1176,0,1,0,3,TA,6,1,Gd,Detchd,1985.0,Unf,2,528,112,0,0,9,2006,Normal,114500
53,90,RM,110.0,8472,IR2,Corner,IDOTRR,Duplex,1Story,5,5,1963,1963,Gable,Wd Sdng,Wd Sdng,None,0.0,Fa,CBlock,Gd,Gd,LwQ,104,GLQ,0,816,TA,816,0,816,1,1,0,2,TA,5,0,Missing,CarPort,1963.0,Unf,2,516,106,0,0,5,2010,Normal,110000
54,20,RL,68.0,50271,IR1,Inside,Veenker,1Fam,1Story,9,5,1981,1987,Gable,WdShing,Wd Shng,None,0.0,Gd,CBlock,Ex,Gd,GLQ,1810,Unf,32,1842,Gd,1842,0,1842,2,0,1,0,Gd,5,1,Gd,Attchd,1981.0,Fin,3,894,857,72,0,11,2006,Normal,385000
55,80,RL,60.0,7134,Reg,Inside,NAmes,1Fam,SLvl,5,5,1955,1955,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,No,ALQ,384,Unf,0,384,TA,1360,0,1360,0,1,0,3,TA,6,1,TA,Detchd,1962.0,Unf,2,572,0,50,0,2,2007,Normal,130000
56,20,RL,100.0,10175,IR1,Inside,NAmes,1Fam,1Story,6,5,1964,1964,Gable,HdBoard,Plywood,BrkFace,272.0,TA,CBlock,TA,No,BLQ,490,Unf,935,1425,Gd,1425,0,1425,0,2,0,3,TA,7,1,Gd,Attchd,1964.0,RFn,2,576,0,0,0,7,2008,Normal,180500
57,160,FV,24.0,2645,Reg,Inside,Somerst,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,Gd,PConc,Gd,No,GLQ,649,Unf,321,970,Ex,983,756,1739,1,2,1,3,Gd,7,0,Missing,Attchd,1999.0,Fin,2,480,115,0,0,8,2009,Abnorml,172500
58,60,RL,89.0,11645,IR1,Corner,CollgCr,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,No,Unf,0,Unf,860,860,Ex,860,860,1720,0,2,1,3,Gd,7,0,Missing,Attchd,2004.0,RFn,2,565,0,70,0,8,2006,Normal,196500
59,60,RL,66.0,13682,IR2,CulDSac,StoneBr,1Fam,2Story,10,5,2006,2006,Hip,VinylSd,VinylSd,BrkFace,1031.0,Ex,PConc,Ex,Gd,Unf,0,Unf,1410,1410,Ex,1426,1519,2945,0,3,1,3,Gd,10,1,Gd,BuiltIn,2006.0,Fin,3,641,192,0,37,10,2006,Partial,438780
60,20,RL,60.0,7200,Reg,Inside,CollgCr,1Fam,1Story,5,7,1972,1972,Gable,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,Av,ALQ,632,Unf,148,780,Ex,780,0,780,0,1,0,2,TA,4,0,Missing,Detchd,1973.0,Unf,1,352,196,0,0,1,2008,Normal,124900
61,20,RL,63.0,13072,Reg,Inside,SawyerW,1Fam,1Story,6,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,No,ALQ,941,Unf,217,1158,Ex,1158,0,1158,1,1,1,3,Gd,5,0,Missing,Detchd,2006.0,Unf,2,576,0,50,0,5,2006,Partial,158000
62,75,RM,60.0,7200,Reg,Inside,IDOTRR,1Fam,2.5Unf,5,7,1920,1996,Gable,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,Unf,0,Unf,530,530,TA,581,530,1111,0,1,0,3,Fa,6,0,Missing,Detchd,1935.0,Unf,1,288,0,0,144,3,2007,Normal,101000
63,120,RL,44.0,6442,IR1,Inside,NridgHt,TwnhsE,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,Stone,178.0,Gd,PConc,Gd,Mn,GLQ,24,Unf,1346,1370,Ex,1370,0,1370,0,2,0,2,Gd,6,1,Gd,Attchd,2006.0,RFn,2,484,120,49,0,10,2007,Normal,202500
64,70,RM,50.0,10300,IR1,Inside,OldTown,1Fam,2Story,7,6,1921,1950,Gable,Stucco,Stucco,None,0.0,TA,BrkTil,TA,No,Unf,0,Unf,576,576,Gd,902,808,1710,0,2,0,3,TA,9,0,Missing,Detchd,1990.0,Unf,2,480,12,11,64,4,2010,Normal,140000
65,60,RL,69.0,9375,Reg,Inside,CollgCr,1Fam,2Story,7,5,1997,1998,Gable,VinylSd,VinylSd,BrkFace,573.0,TA,PConc,Gd,No,GLQ,739,Unf,318,1057,Ex,1057,977,2034,1,2,1,3,Gd,8,0,Missing,Attchd,1998.0,RFn,2,645,576,36,0,2,2009,Normal,219500
66,60,RL,76.0,9591,Reg,Inside,NridgHt,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,BrkFace,344.0,Gd,PConc,Ex,Av,Unf,0,Unf,1143,1143,Ex,1143,1330,2473,0,2,1,4,Gd,9,1,Gd,BuiltIn,2004.0,RFn,3,852,192,151,0,10,2007,Normal,317000
67,20,RL,69.0,19900,Reg,Inside,NAmes,1Fam,1Story,7,5,1970,1989,Gable,Plywood,Plywood,BrkFace,287.0,TA,CBlock,Gd,Gd,GLQ,912,Unf,1035,1947,TA,2207,0,2207,1,2,0,3,TA,7,1,Gd,Attchd,1970.0,RFn,2,576,301,0,0,7,2010,Normal,180000
68,20,RL,72.0,10665,IR1,Inside,CollgCr,1Fam,1Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,167.0,Gd,PConc,Gd,Av,GLQ,1013,Unf,440,1453,Ex,1479,0,1479,1,2,0,3,Gd,7,0,Missing,Attchd,2003.0,RFn,2,558,144,29,0,6,2007,Normal,226000
69,30,RM,47.0,4608,Reg,Corner,OldTown,1Fam,1Story,4,6,1945,1950,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,No,Unf,0,Unf,747,747,TA,747,0,747,0,1,0,2,TA,4,0,Missing,Attchd,1945.0,Unf,1,220,0,0,0,6,2010,Normal,80000
70,50,RL,81.0,15593,Reg,Corner,ClearCr,1Fam,1.5Fin,7,4,1953,1953,Gable,BrkFace,AsbShng,None,0.0,Gd,CBlock,TA,No,BLQ,603,Unf,701,1304,TA,1304,983,2287,0,2,0,3,TA,7,1,TA,Attchd,1953.0,Fin,2,667,0,21,114,7,2006,Normal,225000
71,20,RL,95.0,13651,IR1,Inside,NAmes,1Fam,1Story,7,6,1973,1973,Gable,Plywood,Plywood,BrkFace,1115.0,TA,CBlock,Gd,Gd,ALQ,1880,Unf,343,2223,Ex,2223,0,2223,1,2,0,3,TA,8,2,Gd,Attchd,1973.0,Fin,2,516,300,0,0,2,2007,Normal,244000
72,20,RL,69.0,7599,Reg,Corner,Mitchel,1Fam,1Story,4,6,1982,2006,Gable,HdBoard,Plywood,None,0.0,TA,CBlock,TA,No,ALQ,565,Unf,280,845,TA,845,0,845,1,1,0,2,TA,4,0,Missing,Detchd,1987.0,Unf,2,360,0,0,0,6,2007,Normal,129500
73,60,RL,74.0,10141,IR1,Corner,Gilbert,1Fam,2Story,7,5,1998,1998,Gable,VinylSd,VinylSd,BrkFace,40.0,TA,PConc,Gd,No,Unf,0,Unf,832,832,Gd,885,833,1718,0,2,1,3,TA,7,1,TA,Attchd,1998.0,Fin,2,427,0,94,0,12,2009,Normal,185000
74,20,RL,85.0,10200,Reg,Inside,NAmes,1Fam,1Story,5,7,1954,2003,Gable,Wd Sdng,Wd Sdng,BrkFace,104.0,TA,CBlock,TA,No,ALQ,320,BLQ,404,1086,Gd,1086,0,1086,1,1,0,3,TA,6,0,Missing,Attchd,1989.0,Unf,2,490,0,0,0,5,2010,Normal,144900
75,50,RM,60.0,5790,Reg,Corner,OldTown,1Fam,2Story,3,6,1915,1950,Gambrel,VinylSd,VinylSd,None,0.0,Gd,CBlock,Fa,No,Unf,0,Unf,840,840,Gd,840,765,1605,0,2,0,3,TA,8,0,Missing,Detchd,1915.0,Unf,1,379,0,0,202,5,2010,Normal,107400
76,180,RM,21.0,1596,Reg,Inside,MeadowV,Twnhs,SLvl,4,5,1973,1973,Gable,CemntBd,CmentBd,None,0.0,TA,CBlock,Gd,Gd,GLQ,462,Unf,0,462,TA,526,462,988,1,1,0,2,TA,5,0,Missing,BuiltIn,1973.0,Unf,1,297,120,101,0,11,2009,Normal,91000
77,20,RL,69.0,8475,IR1,Inside,NAmes,1Fam,1Story,4,7,1956,1956,Gable,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,No,ALQ,228,Unf,724,952,Ex,952,0,952,0,1,0,2,TA,4,0,Missing,Detchd,1956.0,Unf,1,283,0,0,0,4,2008,Normal,135750
78,50,RM,50.0,8635,Reg,Inside,BrkSide,1Fam,1.5Fin,5,5,1948,2001,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,No,BLQ,336,GLQ,295,672,TA,1072,213,1285,1,1,0,2,TA,6,0,Missing,Detchd,1948.0,Unf,1,240,0,0,0,1,2008,Normal,127000
